scenario,policy,seed_index,seed,stations,mcs,payload_bytes,load_skew,offered_mbps,received_packets,decision_count,learned_fallbacks,throughput_mbps,delay_mean_ms,delay_p95_ms,delay_p99_ms,fairness,decision_mean_us,decision_p95_us,decision_p99_us,decision_max_us,decision_deadline_miss_rate,inference_mean_us,inference_p95_us,inference_p99_us,inference_max_us,delivery_ratio
unseen_active_4,rr_default,0,920000,4,8,1000,0.3,88.8,8684,0,0,69.472,419.109779,1148.37154,1208.566269,0.998871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823423423423423
unseen_active_4,rr_default,1,920001,4,8,1000,0.3,88.8,8682,0,0,69.456,419.792728,1148.387566,1208.644846,0.998916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7821621621621622
unseen_active_4,rr_default,2,920002,4,8,1000,0.3,88.8,8686,0,0,69.488,419.049685,1147.858516,1208.631305,0.998887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825225225225225
unseen_active_4,rr_default,3,920003,4,8,1000,0.3,88.8,8692,0,0,69.536,419.090664,1146.929184,1207.809816,0.998903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7830630630630631
unseen_active_4,rr_default,4,920004,4,8,1000,0.3,88.8,8694,0,0,69.552,420.115685,1147.370778,1208.035567,0.998858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832432432432433
unseen_active_4,rr_default,5,920005,4,8,1000,0.3,88.8,8690,0,0,69.52,419.499377,1149.844232,1210.342611,0.998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828828828828829
unseen_active_4,rr_default,6,920006,4,8,1000,0.3,88.8,8684,0,0,69.472,419.639305,1147.003312,1207.146258,0.998871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823423423423423
unseen_active_4,rr_default,7,920007,4,8,1000,0.3,88.8,8686,0,0,69.488,418.528405,1145.183203,1206.284402,0.998856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825225225225225
unseen_active_4,rr_default,8,920008,4,8,1000,0.3,88.8,8700,0,0,69.6,418.672976,1143.551431,1203.71222,0.998875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837837837837838
unseen_active_4,rr_default,9,920009,4,8,1000,0.3,88.8,8688,0,0,69.504,419.900216,1147.513083,1207.930305,0.998872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827027027027028
unseen_active_7,max_backlog,0,920000,7,5,1000,0.55,77.4,5948,580,0,47.584,734.639144,1525.532404,1589.556184,0.969026,191.516986,227.186,274.737,317.472,0.0,0.0,0.0,0.0,0.0,0.6147803617571059
unseen_active_7,max_backlog,1,920001,7,5,1000,0.55,77.4,5952,589,0,47.616,667.086655,1439.75072,1504.552966,0.968986,171.208107,193.791,213.958,295.844,0.0,0.0,0.0,0.0,0.0,0.6151937984496123
unseen_active_7,max_backlog,2,920002,7,5,1000,0.55,77.4,5948,585,0,47.584,729.341274,1518.208618,1582.832756,0.969026,181.748745,208.122,320.975,328.268,0.0,0.0,0.0,0.0,0.0,0.6147803617571059
unseen_active_7,max_backlog,3,920003,7,5,1000,0.55,77.4,5944,582,0,47.552,733.479215,1522.85376,1586.286132,0.969189,190.825407,223.628,269.939,330.165,0.0,0.0,0.0,0.0,0.0,0.6143669250645994
unseen_active_7,max_backlog,4,920004,7,5,1000,0.55,77.4,5948,584,0,47.584,734.113101,1526.245082,1586.705784,0.969033,178.293022,198.287,226.215,301.121,0.0,0.0,0.0,0.0,0.0,0.6147803617571059
unseen_active_7,max_backlog,5,920005,7,5,1000,0.55,77.4,5944,578,0,47.552,732.714814,1523.432992,1583.475228,0.968844,244.668766,273.237,298.701,365.06,0.0,0.0,0.0,0.0,0.0,0.6143669250645994
unseen_active_7,max_backlog,6,920006,7,5,1000,0.55,77.4,5948,582,0,47.584,732.342027,1523.14973,1584.667828,0.969701,183.483704,212.804,315.113,382.975,0.0,0.0,0.0,0.0,0.0,0.6147803617571059
unseen_active_7,max_backlog,7,920007,7,5,1000,0.55,77.4,5944,583,0,47.552,730.413679,1516.1695,1579.727922,0.96885,190.313461,217.176,299.321,344.056,0.0,0.0,0.0,0.0,0.0,0.6143669250645994
unseen_active_7,max_backlog,8,920008,7,5,1000,0.55,77.4,5936,585,0,47.488,729.086285,1519.45309,1581.06458,0.970057,187.705651,214.946,255.236,321.953,0.0,0.0,0.0,0.0,0.0,0.6135400516795865
unseen_active_7,max_backlog,9,920009,7,5,1000,0.55,77.4,5944,584,0,47.552,732.229612,1519.55528,1584.135918,0.96907,183.294817,202.021,209.031,239.146,0.0,0.0,0.0,0.0,0.0,0.6143669250645994
unseen_active_7,ml_delay,0,920000,7,5,1000,0.55,77.4,6434,576,2,51.472,641.287168,1377.376069,1432.433451,0.948506,636.064141,687.432,884.669,1006.773,0.003472,180.440378,195.651,224.017,244.906,0.6650129198966408
unseen_active_7,ml_delay,1,920001,7,5,1000,0.55,77.4,5725,586,8,45.8,627.893761,1399.412441,1477.23822,0.97921,573.119355,663.525,811.896,998.557,0.0,175.930082,187.364,218.281,245.177,0.5917312661498707
unseen_active_7,ml_delay,2,920002,7,5,1000,0.55,77.4,6140,585,5,49.12,694.352012,1457.78186,1520.601963,0.960405,617.256135,660.663,837.583,986.039,0.0,176.911335,188.549,213.852,235.97,0.6346253229974159
unseen_active_7,ml_delay,3,920003,7,5,1000,0.55,77.4,5925,577,3,47.4,730.469381,1530.995111,1593.461057,0.971463,654.501785,956.236,1031.03,1299.611,0.020797,182.155263,228.287,243.516,310.249,0.6124031007751938
unseen_active_7,ml_delay,4,920004,7,5,1000,0.55,77.4,6134,583,3,49.072,690.832731,1451.180905,1518.393909,0.962977,628.696317,692.703,885.435,1048.712,0.001715,179.681724,197.647,227.62,243.707,0.6340051679586564
unseen_active_7,ml_delay,5,920005,7,5,1000,0.55,77.4,6210,574,2,49.68,697.545127,1462.481189,1516.537979,0.958086,643.387456,728.859,979.275,1000.81,0.001742,180.744613,218.63,232.385,245.267,0.641860465116279
unseen_active_7,ml_delay,6,920006,7,5,1000,0.55,77.4,6368,582,4,50.944,660.812495,1402.053749,1456.422781,0.953322,608.546784,638.95,698.604,973.328,0.0,176.226476,184.577,201.19,255.237,0.6581912144702842
unseen_active_7,ml_delay,7,920007,7,5,1000,0.55,77.4,6296,572,2,50.368,652.035948,1404.790459,1462.281353,0.956207,636.429885,702.708,1065.2,1167.153,0.01049,176.27865,184.646,214.587,233.462,0.650749354005168
unseen_active_7,ml_delay,8,920008,7,5,1000,0.55,77.4,5906,580,5,47.248,719.719384,1509.927501,1573.713389,0.969829,631.056307,674.229,964.089,978.869,0.0,178.057762,191.02,233.277,239.719,0.610439276485788
unseen_active_7,ml_delay,9,920009,7,5,1000,0.55,77.4,5960,583,4,47.68,712.949404,1500.229695,1567.631941,0.969728,621.636187,666.878,700.8,982.47,0.0,177.022334,188.711,197.415,223.821,0.6160206718346253
unseen_active_7,ml_throughput,0,920000,7,5,1000,0.55,77.4,7699,568,2,61.592,376.954312,988.82418,1025.563676,0.898666,621.865857,651.71,879.519,1010.471,0.001761,175.989384,183.941,220.976,240.866,0.7957622739018088
unseen_active_7,ml_throughput,1,920001,7,5,1000,0.55,77.4,7707,573,8,61.656,330.938497,862.404932,899.492028,0.89836,634.873164,732.66,745.623,770.696,0.0,174.575883,184.945,200.761,233.109,0.7965891472868216
unseen_active_7,ml_throughput,2,920002,7,5,1000,0.55,77.4,7699,573,5,61.592,372.018362,982.066508,1017.18178,0.904799,624.814916,658.332,916.125,996.572,0.0,175.492393,183.861,221.589,245.92,0.7957622739018088
unseen_active_7,ml_throughput,3,920003,7,5,1000,0.55,77.4,7699,570,3,61.592,376.271847,990.39764,1025.381604,0.898983,628.335935,682.053,939.355,1011.639,0.001754,176.938112,189.695,227.439,234.917,0.7957622739018088
unseen_active_7,ml_throughput,4,920004,7,5,1000,0.55,77.4,7700,566,3,61.6,377.96712,992.12782,1027.923916,0.899071,627.388495,668.765,758.165,1026.009,0.003534,175.709288,184.344,201.572,232.931,0.7958656330749354
unseen_active_7,ml_throughput,5,920005,7,5,1000,0.55,77.4,7700,567,2,61.6,375.903093,984.484068,1020.661668,0.896636,629.99334,673.136,694.826,897.653,0.0,176.099113,184.529,196.763,269.637,0.7958656330749354
unseen_active_7,ml_throughput,6,920006,7,5,1000,0.55,77.4,7703,569,4,61.624,375.212787,987.656084,1024.038072,0.893851,635.459786,679.714,739.142,843.096,0.0,175.956896,189.914,204.907,231.694,0.7961757105943152
unseen_active_7,ml_throughput,7,920007,7,5,1000,0.55,77.4,7699,565,2,61.592,330.628934,871.295224,901.733668,0.904047,633.642485,944.155,976.085,991.355,0.0,180.308602,221.614,230.983,241.687,0.7957622739018088
unseen_active_7,ml_throughput,8,920008,7,5,1000,0.55,77.4,7691,573,5,61.528,374.849426,983.951764,1024.019156,0.898962,626.801471,672.255,742.622,863.467,0.0,175.776579,186.424,197.304,231.545,0.7949354005167958
unseen_active_7,ml_throughput,9,920009,7,5,1000,0.55,77.4,7696,579,4,61.568,275.977713,710.734528,745.084632,0.898778,596.519012,687.889,779.14,1285.432,0.003454,178.527953,192.557,214.882,678.04,0.7954521963824288
unseen_active_7,oracle_delay,0,920000,7,5,1000,0.55,77.4,7178,569,0,57.424,489.882554,1154.276761,1196.888203,0.920406,2056.38216,2231.372,2598.755,3700.069,0.977153,0.0,0.0,0.0,0.0,0.7419121447028423
unseen_active_7,oracle_delay,1,920001,7,5,1000,0.55,77.4,7182,579,0,57.456,488.236061,1149.170993,1192.538055,0.917739,2014.945793,2207.663,3564.704,3680.287,0.958549,0.0,0.0,0.0,0.0,0.7423255813953489
unseen_active_7,oracle_delay,2,920002,7,5,1000,0.55,77.4,7178,575,0,57.424,489.848975,1152.886103,1195.60666,0.919001,2005.105915,2218.863,2421.491,3464.195,0.963478,0.0,0.0,0.0,0.0,0.7419121447028423
unseen_active_7,oracle_delay,3,920003,7,5,1000,0.55,77.4,7174,572,0,57.392,486.771693,1147.437975,1195.590369,0.92057,2033.001657,2147.775,3503.498,3724.601,0.95979,0.0,0.0,0.0,0.0,0.7414987080103359
unseen_active_7,oracle_delay,4,920004,7,5,1000,0.55,77.4,7180,575,0,57.44,489.898468,1152.852729,1195.887557,0.917828,1975.01477,2114.444,2238.711,3441.409,0.963478,0.0,0.0,0.0,0.0,0.7421188630490956
unseen_active_7,oracle_delay,5,920005,7,5,1000,0.55,77.4,7178,565,0,57.424,489.003556,1153.117393,1195.892336,0.919141,2076.809349,2311.463,2610.04,3496.591,0.980531,0.0,0.0,0.0,0.0,0.7419121447028423
unseen_active_7,oracle_delay,6,920006,7,5,1000,0.55,77.4,7179,571,0,57.432,487.81457,1151.891167,1194.970753,0.920252,2042.752296,2199.068,2469.178,3601.322,0.968476,0.0,0.0,0.0,0.0,0.7420155038759689
unseen_active_7,oracle_delay,7,920007,7,5,1000,0.55,77.4,7181,569,0,57.448,488.514492,1152.070633,1194.996839,0.919747,2434.728308,4435.189,4514.174,4543.877,0.973638,0.0,0.0,0.0,0.0,0.7422222222222222
unseen_active_7,oracle_delay,8,920008,7,5,1000,0.55,77.4,7171,574,0,57.368,486.301562,1151.968559,1194.895145,0.922806,2004.411312,2164.731,3124.769,3738.933,0.973868,0.0,0.0,0.0,0.0,0.7411886304909561
unseen_active_7,oracle_delay,9,920009,7,5,1000,0.55,77.4,7171,575,0,57.368,488.939004,1153.712357,1196.494701,0.9207,2143.088219,3538.651,3655.606,5379.166,0.963478,0.0,0.0,0.0,0.0,0.7411886304909561
unseen_active_7,oracle_throughput,0,920000,7,5,1000,0.55,77.4,7699,569,0,61.592,361.499705,1028.018924,1064.883444,0.904702,1879.843844,1998.968,2069.123,3166.501,0.977153,0.0,0.0,0.0,0.0,0.7957622739018088
unseen_active_7,oracle_throughput,1,920001,7,5,1000,0.55,77.4,7708,579,0,61.664,365.998916,1037.472148,1072.634016,0.899977,1890.009663,2116.42,3229.223,3926.35,0.960276,0.0,0.0,0.0,0.0,0.7966925064599483
unseen_active_7,oracle_throughput,2,920002,7,5,1000,0.55,77.4,7698,576,0,61.584,365.866098,1032.454928,1075.713944,0.897717,1876.653908,2027.058,2088.672,2361.309,0.963542,0.0,0.0,0.0,0.0,0.7956589147286821
unseen_active_7,oracle_throughput,3,920003,7,5,1000,0.55,77.4,7697,574,0,61.576,370.623816,1032.390284,1074.4613,0.894015,1996.699618,2156.477,2244.5,2806.193,0.961672,0.0,0.0,0.0,0.0,0.7955555555555555
unseen_active_7,oracle_throughput,4,920004,7,5,1000,0.55,77.4,7701,572,0,61.608,366.128333,1035.201648,1077.824196,0.904721,1944.679795,2210.83,3275.728,3396.436,0.963287,0.0,0.0,0.0,0.0,0.795968992248062
unseen_active_7,oracle_throughput,5,920005,7,5,1000,0.55,77.4,7700,566,0,61.6,361.587437,1027.495064,1061.830428,0.903607,1945.31911,2143.352,3268.202,3618.654,0.971731,0.0,0.0,0.0,0.0,0.7958656330749354
unseen_active_7,oracle_throughput,6,920006,7,5,1000,0.55,77.4,7704,572,0,61.632,368.271995,1034.100208,1071.876412,0.898476,1929.930759,2103.101,2525.702,3571.613,0.965035,0.0,0.0,0.0,0.0,0.7962790697674418
unseen_active_7,oracle_throughput,7,920007,7,5,1000,0.55,77.4,7700,570,0,61.6,365.758427,1032.3399,1066.458108,0.903197,1889.577151,2036.618,2108.62,3399.106,0.968421,0.0,0.0,0.0,0.0,0.7958656330749354
unseen_active_7,oracle_throughput,8,920008,7,5,1000,0.55,77.4,7692,576,0,61.536,360.516817,1027.613216,1070.813304,0.902388,1854.770495,2002.188,2493.244,3395.806,0.967014,0.0,0.0,0.0,0.0,0.7950387596899224
unseen_active_7,oracle_throughput,9,920009,7,5,1000,0.55,77.4,7695,574,0,61.56,363.630525,1030.937636,1071.493448,0.898462,1900.650462,2080.427,3007.775,3539.647,0.963415,0.0,0.0,0.0,0.0,0.7953488372093023
unseen_active_7,rr_default,0,920000,7,5,1000,0.55,77.4,5423,0,0,43.384,789.30987,1716.414298,1749.001444,0.987712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5605167958656331
unseen_active_7,rr_default,1,920001,7,5,1000,0.55,77.4,5000,0,0,40.0,730.507425,1709.296178,1775.65741,0.997698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167958656330749
unseen_active_7,rr_default,2,920002,7,5,1000,0.55,77.4,5420,0,0,43.36,784.487014,1704.23975,1786.360944,0.987234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5602067183462531
unseen_active_7,rr_default,3,920003,7,5,1000,0.55,77.4,5414,0,0,43.312,791.269415,1685.320262,1740.011988,0.98775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595865633074935
unseen_active_7,rr_default,4,920004,7,5,1000,0.55,77.4,5423,0,0,43.384,788.13442,1704.84256,1750.606078,0.987231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5605167958656331
unseen_active_7,rr_default,5,920005,7,5,1000,0.55,77.4,5419,0,0,43.352,790.66,1715.607144,1745.748792,0.987511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601033591731265
